% Model:              Xsource_ver8.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jan 19 2015, 15:04
% Dimension:          1
% Nodes:              1000
% Expressions:        1
% Description:        Line graph
% E                       Height
3.5225225225225224E9      1.5005783255006335E-8
3.5315315315315313E9      1.581197431630323E-8
3.5405405405405407E9      1.6657257837309347E-8
3.5495495495495496E9      1.7543317226361924E-8
3.5585585585585585E9      1.8471898791972443E-8
3.5675675675675673E9      1.9444813709562226E-8
3.5765765765765767E9      2.0463940036415493E-8
3.5855855855855856E9      2.1531224775645303E-8
3.5945945945945945E9      2.264868598997251E-8
3.603603603603604E9       2.381841496612059E-8
3.6126126126126127E9      2.5042578430632595E-8
3.6216216216216216E9      2.632342081792271E-8
3.6306306306306305E9      2.766326659137441E-8
3.63963963963964E9        2.9064522618302022E-8
3.6486486486486487E9      3.052968059959771E-8
3.6576576576576576E9      3.206131955488397E-8
3.6666666666666665E9      3.366210836399838E-8
3.675675675675676E9       3.533480836563829E-8
3.6846846846846848E9      3.708227601399468E-8
3.6936936936936936E9      3.8907465594208394E-8
3.7027027027027025E9      4.081343199748186E-8
3.711711711711712E9       4.280333355668189E-8
3.720720720720721E9       4.488043494327166E-8
3.7297297297297297E9      4.7048110126409755E-8
3.7387387387387385E9      4.930984539505566E-8
3.747747747747748E9       5.166924244392369E-8
3.756756756756757E9       5.413002152412403E-8
3.7657657657657657E9      5.669602465933802E-8
3.7747747747747746E9      5.93712189283633E-8
3.783783783783784E9       6.215969981487774E-8
3.792792792792793E9       6.50656946252594E-8
3.8018018018018017E9      6.809356597531108E-8
3.810810810810811E9       7.124781534672383E-8
3.81981981981982E9        7.453308671412738E-8
3.828828828828829E9       7.795417024356649E-8
3.8378378378378377E9      8.151600606323922E-8
3.846846846846847E9       8.52236881073423E-8
3.855855855855856E9       8.908246803385227E-8
3.864864864864865E9       9.309775921708862E-8
3.8738738738738737E9      9.727514081588317E-8
3.882882882882883E9       1.0162036191819022E-7
3.891891891891892E9       1.0613934576297242E-7
3.900900900900901E9       1.1083819404018317E-7
3.9099099099099097E9      1.15723191269671E-7
3.918918918918919E9       1.2080080925983677E-7
3.927927927927928E9       1.2607771164684643E-7
3.936936936936937E9       1.315607585152339E-7
3.9459459459459457E9      1.3725701110069063E-7
3.954954954954955E9       1.431737365758662E-7
3.963963963963964E9       1.4931841291997003E-7
3.972972972972973E9       1.5569873387298647E-7
3.9819819819819818E9      1.6232261397530308E-7
3.990990990990991E9       1.6919819369352764E-7
4.0E9                     1.7633384463330773E-7
4.009009009009009E9       1.837381748399194E-7
4.0180180180180182E9      1.9142003418740746E-7
4.027027027027027E9       1.9938851985705336E-7
4.036036036036036E9       2.07652981905947E-7
4.045045045045045E9       2.162230289264086E-7
4.0540540540540543E9      2.25108533797036E-7
4.063063063063063E9       2.3431963952612198E-7
4.072072072072072E9       2.4386676518818535E-7
4.081081081081081E9       2.537606119543666E-7
4.0900900900900903E9      2.6401216921740347E-7
4.099099099099099E9       2.746327208119389E-7
4.108108108108108E9       2.8563385133086276E-7
4.117117117117117E9       2.970274525384046E-7
4.1261261261261263E9      3.0882572988069283E-7
4.135135135135135E9       3.210412090944736E-7
4.144144144144144E9       3.336867429146874E-7
4.153153153153153E9       3.467755178815731E-7
4.1621621621621623E9      3.6032106124800693E-7
4.171171171171171E9       3.7433724798770937E-7
4.18018018018018E9        3.8883830790501556E-7
4.189189189189189E9       4.0383883284684093E-7
